"Black Rain","Citizen Kane","Structure/Foundation (What's the Plan)","1996","1990's","Hip-Hop","Life","YouTube"
"All I Have - Intro","Snoh Aalegra","FEELS","2017","2010's","R&B","Heartbreak","All"
"Fool For You","Snoh Aalegra","FEELS","2017","2010's","R&B","Heartbreak","All"
"Worse","Snoh Aalegra","FEELS","2017","2010's","R&B","Toxic","All"
"You Keep Me Waiting (feat. VIC MENSA)","Snoh Aalegra","FEELS","2017","2010's","R&B","Heartbreak","All"
"Time","Snoh Aalegra","FEELS","2017","2010's","R&B","Life","All"
"Here Now (Intro)","Snoh Aalegra","- Ugh, those feels again","2019","2010's","R&B","Love","All"
"I Want You Around","Snoh Aalegra","- Ugh, those feels again","2019","2010's","R&B","Love","All"
"Situationship","Snoh Aalegra","- Ugh, those feels again","2019","2010's","R&B","Love","All"
"Whoa","Snoh Aalegra","- Ugh, those feels again","2019","2010's","R&B","Love","All"
"Toronto","Snoh Aalegra","- Ugh, those feels again","2019","2010's","R&B","Love","All"
"Love Like That","Snoh Aalegra","- Ugh, those feels again","2019","2010's","R&B","Love","All"
"You","Snoh Aalegra","- Ugh, those feels again","2019","2010's","R&B","Love","All"
"Njoy","Snoh Aalegra","- Ugh, those feels again","2019","2010's","R&B","Heartbreak","All"
"Nothing to Me","Snoh Aalegra","- Ugh, those feels again","2019","2010's","R&B","Heartbreak","All"
"I Didn't Mean To Fall In Love","Snoh Aalegra","- Ugh, those feels again","2019","2010's","R&B","Love","All"
"Emotional","Snoh Aalegra","Emotional - Single","2015","2010's","R&B","Heartbreak","All"
"Cruel Intentions","JMSN","It is.","2016","2010's","R&B","Love","All"
"There Will Be Sunshine","Snoh Aalegra","There Will Be Sunshine","2014","2010's","R&B","Life","All"
"You Always Knew","Snoh Aalegra","There Will Be Sunshine","2014","2010's","R&B","Heartbreak","All"
"INDECISIVE","Snoh Aalegra","TEMPORARY HIGHS IN THE VIOLET SKIES","2021","2020's","R&B","Life","All"
"LOST YOU","Snoh Aalegra","TEMPORARY HIGHS IN THE VIOLET SKIES","2021","2020's","R&B","Heartbreak","All"
"NEON PEACH (feat. Tyler, The Creator)","Snoh Aalegra","TEMPORARY HIGHS IN THE VIOLET SKIES","R&B","2021","2020's","Heartbreak","All"
"ON MY MIND (feat. James Fauntleroy)","Snoh Aalegra","TEMPORARY HIGHS IN THE VIOLET SKIES","2021","2020's","R&B","Heartbreak","All"
"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007","Amy Winehouse","Back To Black: B-Sides","2007","2000's","R&B Classics","Love","All"
"Waiting In Vain","Bob Marley & The Wailers","Exodus (Deluxe Edition)","1977","1970's","Reggae Classics","Heartbreak","All"
"It Kills Me","Melanie Fiona","The Bridge","2009","2000's","R&B Classics","Heartbreak","All"
"Love And Happiness","Al Green","I'm Still in Love with You","1972","1970's","R&B Classics","Love","All"
"Tired of Being Alone","Al Green","Gets Next to You","1971","1970's","R&B Classics","Love","All"
"Hotel (feat. R. Kelly)","Cassidy","Split Personality","2004","2000's","Hip-Hop","Party","All"
"How High (feat. Lloyd)","Curren$y","Canal Street Confidential (Deluxe Edition)","2015","2010's","Hip-Hop","Love","All"
"Tell Me When","Christian Kuria","Borderline","2020","2020's","R&B","Love","All"
"Too Good","Christian Kuria","Borderline","2020","2020's","R&B","Love","All"
"Bitter Pill","Christian Kuria","Borderline","2020","2020's","R&B","Heartbreak","All"
"Let's Stay Home Tonight","Joe","Better Days","2001","2000's","R&B","Love","All"
"Fine China","Chris Brown","X (Deluxe Version)","2014","2010's","R&B","Love","All"
"Lost In Ya Love","Chris Brown","X (Deluxe Version)","2014","2010's","R&B","Love","All"
"X","Chris Brown","X (Deluxe Version)","2014","2010's","R&B","Moving On","All"
"Drunk Texting","Chris Brown","X (Deluxe Version)","2014","2010's","R&B","Toxic","All"
"Don't Think They Know (feat. Aaliyah)","Chris Brown","X (Deluxe Version)","2014","2010's","R&B","Love","All"
"New Flame (feat. Usher and Rick Ross)","Chris Brown","X (Deluxe Version)","2014","2010's","R&B","Love","All"
"Loyal (feat. Lil Wayne and Tyga)","Chris Brown","X (Deluxe Version)","2014","2010's","R&B","Party","All"
"Add Me In","Chris Brown","X (Deluxe Version)","2014","2010's","R&B","Love","All"
"Autumn Leaves (feat. Kendrick Lamar)","Chris Brown","X (Deluxe Version)","2014","2010's","R&B","Heartbreak","All"
"Indigo","Chris Brown","Indigo","2019","2010's","R&B","Love","All"
"Back To Love","Chris Brown","Indigo","2019","2010's","R&B","Love","All"
"Come Together (feat. H.E.R.)","Chris Brown","Indigo","2019","2010's","R&B","Love","All"
"Heat (feat. Gunna)","Chris Brown","Indigo","2019","2010's","R&B","Party","All"
"No Guidance (feat. Drake)","Chris Brown","Indigo","2019","2010's","R&B","Love","All"
"Don't Check On Me (feat. Justin Bieber and Ink)","Chris Brown","Indigo","2019","2010's","R&B","Moving On","All"
"Undecided","Chris Brown","Indigo","2019","2010's","R&B","Love","All"
